"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"41","Jakobi Meyers (LV)","83","126","866","10.4","39","14","2","1","9","0","1","16","103.3","6.5","79.1%"
"42","A.J. Green (FA)","54","92","848","15.7","42","28","3","0","0","0","0","16","102.8","6.4","1.0%"
"43","Cedrick Wilson Jr. (MIA)","45","61","602","13.4","73","16","6","2","11","0","0","14","102.8","7.3","0.2%"
"44","Allen Lazard (NYJ)","40","60","513","12.8","42","12","8","3","32","0","0","14","102.5","7.3","10.8%"
"45","Russell Gage (TB)","66","94","770","11.7","49","11","4","0","0","0","2","13","97.0","7.5","0.1%"
"46","Elijah Moore (CLE)","43","77","538","12.5","62","12","5","5","54","1","0","11","95.2","8.7","42.2%"
"47","Courtland Sutton (DEN)","58","98","776","13.4","55","19","2","0","0","0","0","17","92.2","5.4","86.9%"
"48","Robert Woods (HOU)","45","69","556","12.4","28","8","4","8","46","1","0","9","92.2","10.2","7.8%"
"49","Gabe Davis (BUF)","35","63","549","15.7","49","17","6","0","0","0","0","15","90.9","6.1","81.3%"
"50","Emmanuel Sanders (FA)","42","72","626","14.9","41","15","4","2","31","0","0","14","89.7","6.4","0.0%"
"51","Robbie Chosen (MIA)","53","110","519","9.8","57","6","5","3","36","0","0","17","85.5","5.0","0.1%"
"52","Odell Beckham Jr. (BAL)","44","82","537","12.2","54","12","5","2","14","0","0","14","85.1","6.1","45.3%"
"53","Byron Pringle (WAS)","42","60","568","13.5","40","14","5","0","0","0","1","16","84.8","5.3","0.0%"
"54","Kalif Raymond (DET)","48","71","576","12.0","75","12","4","4","28","0","0","16","84.4","5.3","1.9%"
"55","Mecole Hardman Jr. (KC)","59","83","693","11.7","53","17","2","8","46","0","2","17","81.9","4.8","1.7%"
"56","Jarvis Landry (FA)","52","87","570","11.0","38","10","2","6","40","2","2","12","81.0","6.8","14.0%"
"57","Antonio Brown (FA)","42","62","545","13.0","62","15","4","1","6","0","0","7","79.1","11.3","0.2%"
"58","Cole Beasley (FA)","82","112","693","8.5","29","5","1","0","0","0","0","16","77.3","4.8","0.0%"
"59","Deonte Harty (BUF)","36","59","570","15.8","72","16","3","5","41","0","1","13","77.1","5.9","0.3%"
"60","Donovan Peoples-Jones (DET)","34","58","597","17.6","60","22","3","0","0","0","1","14","75.7","5.4","2.2%"
"61","Braxton Berrios (MIA)","46","65","431","9.4","46","7","2","7","40","2","1","16","75.1","4.7","1.6%"
"62","Bryan Edwards (FA)","34","59","571","16.8","51","19","3","1","0","0","0","16","75.1","4.7","0.0%"
"63","Quez Watkins (PHI)","43","62","647","15.0","91","22","1","1","3","0","0","17","73.0","4.3","0.3%"
"64","Corey Davis (FA)","34","59","492","14.5","53","14","4","0","0","0","1","9","71.2","7.9","0.1%"
"65","Nick Westbrook-Ikhine (TEN)","38","57","476","12.5","46","8","4","0","0","0","1","15","69.6","4.6","0.8%"
"66","Nelson Agholor (BAL)","37","64","473","12.8","44","12","3","3","11","0","0","15","66.4","4.4","0.7%"
